Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",1430,6624.9,239,57.2,85.80000000000001,Medium Demand
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2113,9617.27,283,84.52,126.78,Medium Demand
SET 3 SONG BIRD PAPER EGGS ASSORTED,1161,3230.55,131,46.44,69.66,Medium Demand
SET 3 WICKER LOG BASKETS,399,7360.05,163,15.96,23.94,Low Demand
SET 3 WICKER OVAL BASKETS W LIDS,488,6404.82,44,19.52,29.28,Low Demand
SET 3 WICKER STORAGE BASKETS ,254,3712.2999999999997,84,10.16,15.24,Low Demand
SET 36 COLOUR PENCILS DOILEY,64,80.0,3,2.56,3.84,Low Demand
SET 36 COLOUR PENCILS DOLLY GIRL,1296,1522.72,99,51.84,77.76,Medium Demand
SET 36 COLOUR PENCILS LOVE LONDON,901,1053.29,95,36.04,54.06,Medium Demand
SET 36 COLOUR PENCILS SPACEBOY ,1505,1783.97,133,60.2,90.30000000000001,Medium Demand
SET 36 COLOURING PENCILS DOILEY,1,1.25,1,0.04,0.06,Low Demand
SET 36 COLOURING PENCILS DOILY,1294,1568.8600000000001,102,51.76,77.64,Medium Demand
SET 4 EASTER DECOUPAGE OVAL BOXES,14,41.300000000000004,7,0.56,0.8400000000000001,Low Demand
SET 4 NURSERY DES ROUND BOXES,3047,1280.45,35,121.88,182.82,High Demand
SET 4 PICNIC CUTLERY BLUEBERRY,82,159.9,9,3.28,4.92,Low Demand
SET 4 PICNIC CUTLERY CHERRY ,71,138.45,9,2.84,4.26,Low Demand
SET 4 PICNIC CUTLERY FONDANT,65,126.75,6,2.6,3.9000000000000004,Low Demand
SET 4 VALENTINE DECOUPAGE HEART BOX,154,450.38000000000005,44,6.16,9.24,Low Demand
SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,140,170.4,255.60000000000002,High Demand
SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,82.44,3,4.32,6.48,Low Demand
SET 5 MINI DOUGHNUT FRIDGE MAGNET ,372,295.08000000000004,7,14.88,22.32,Low Demand
SET 5 MINI GATEAUX  FRIDGE MAGNETS,2636,918.6800000000001,8,105.44,158.16,High Demand
SET 6 FOOTBALL CELEBRATION CANDLES,2090,2144.02,199,83.6,125.39999999999999,Medium Demand
SET 6 PAPER TABLE LANTERN HEARTS ,2265,8129.43,263,90.6,135.89999999999998,Medium Demand
SET 6 PAPER TABLE LANTERN STARS ,1860,6739.63,209,74.4,111.60000000000001,Medium Demand
SET 6 SCHOOL MILK BOTTLES IN CRATE,2067,7510.29,281,82.68,124.02000000000001,Medium Demand
SET 7 BABUSHKA NESTING BOXES,3579,28023.09,577,143.16,214.74,High Demand
SET 72 CAKE CASES VINTAGE CHRISTMAS,672,291.6,4,26.88,40.32,Medium Demand
SET 8 CANDLES VINTAGE DOILEY,122,216.29999999999998,7,4.88,7.32,Low Demand
SET 8 CANDLES VINTAGE DOILY,1029,1941.75,100,41.16,61.739999999999995,Medium Demand
SET OF 10 LANTERNS FAIRY LIGHT STAR,564,2264.74,85,22.56,33.839999999999996,Medium Demand
SET OF 10 LED DOLLY LIGHTS,2194,12985.23,351,87.76,131.64000000000001,Medium Demand
SET OF 12  VINTAGE POSTCARD SET,2717,2267.47,144,108.68,163.02,High Demand
SET OF 12 FAIRY CAKE BAKING CASES,8243,6469.45,465,329.72,494.58000000000004,High Demand
SET OF 12 FORK CANDLES,1215,3319.35,113,48.6,72.9,Medium Demand
SET OF 12 LILY BOTANICAL T-LIGHTS,739,2122.4500000000003,134,29.56,44.339999999999996,Medium Demand
SET OF 12 MINI BUNNIES IN A BUCKET,1671,963.66,73,66.84,100.26,Medium Demand
SET OF 12 MINI LOAF BAKING CASES,5963,4675.61,359,238.52,357.78000000000003,High Demand
SET OF 12 ROSE BOTANICAL T-LIGHTS,1608,4455.6,178,64.32,96.47999999999999,Medium Demand
SET OF 12 T-LIGHTS VINTAGE DOILEY,61,118.94999999999999,6,2.44,3.66,Low Demand
SET OF 12 T-LIGHTS VINTAGE DOILY,918,1721.6999999999998,70,36.72,55.08,Medium Demand
SET OF 16 VINTAGE BLACK CUTLERY,116,1404.81,35,4.64,6.959999999999999,Low Demand
SET OF 16 VINTAGE IVORY CUTLERY,4,51.0,4,0.16,0.24,Low Demand
SET OF 16 VINTAGE PISTACHIO CUTLERY,145,1848.75,67,5.8,8.7,Low Demand
SET OF 16 VINTAGE RED CUTLERY,90,1171.92,42,3.6,5.4,Low Demand
SET OF 16 VINTAGE ROSE CUTLERY,222,2700.8999999999996,68,8.88,13.32,Low Demand
SET OF 16 VINTAGE SKY BLUE CUTLERY,108,1333.8,39,4.32,6.48,Low Demand
SET OF 2 CERAMIC CHRISTMAS REINDEER,1435,1981.6299999999999,78,57.4,86.1,Medium Demand
SET OF 2 CERAMIC CHRISTMAS TREES,755,1075.55,76,30.2,45.3,Medium Demand
SET OF 2 CERAMIC PAINTED HEARTS ,1166,1625.8999999999999,118,46.64,69.96000000000001,Medium Demand
SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1212,1161.8400000000001,116,48.48,72.72,Medium Demand
SET OF 2 FANCY FONT TEA TOWELS,1055,3048.2500000000005,156,42.2,63.300000000000004,Medium Demand
SET OF 2 ROUND TINS CAMEMBERT ,893,2363.63,189,35.72,53.58,Medium Demand
SET OF 2 ROUND TINS DUTCH CHEESE,703,1805.2900000000002,174,28.12,42.18,Medium Demand
SET OF 2 TEA TOWELS APPLE AND PEARS,2793,8213.59,354,111.72,167.57999999999998,High Demand
SET OF 2 TEA TOWELS PING MICROWAVE,180,425.92,39,7.2,10.8,Low Demand
SET OF 2 TINS JARDIN DE PROVENCE,566,2437.1,177,22.64,33.96,Medium Demand
SET OF 2 TINS VINTAGE BATHROOM ,848,3554.0,205,33.92,50.88,Medium Demand
SET OF 2 TRAYS HOME SWEET HOME,250,2446.62,118,10.0,15.0,Low Demand
SET OF 2 WOODEN MARKET CRATES,1003,12248.25,341,40.12,60.17999999999999,Medium Demand
SET OF 20 KIDS COOKIE CUTTERS,7585,15209.070000000002,626,303.4,455.09999999999997,High Demand
SET OF 20 VINTAGE CHRISTMAS NAPKINS,15872,12525.56,889,634.88,952.3199999999999,High Demand
SET OF 3 BABUSHKA STACKING TINS,1070,5184.5,140,42.8,64.19999999999999,Medium Demand
SET OF 3 BIRD L.BLUE FEATHER,360,349.2,54,14.4,21.6,Low Demand
SET OF 3 BIRD LIGHT PINK FEATHER ,1981,1086.71,205,79.24,118.85999999999999,Medium Demand
SET OF 3 BLACK FLYING DUCKS,1254,5060.3,120,50.16,75.24,Medium Demand
SET OF 3 BLUE STRIPE BASKET,436,3632.9700000000003,76,17.44,26.160000000000004,Low Demand
SET OF 3 BUTTERFLY COOKIE CUTTERS,9673,11920.3,814,386.92,580.38,High Demand
SET OF 3 CAKE TINS PANTRY DESIGN ,7020,33347.8,1146,280.8,421.20000000000005,High Demand
SET OF 3 CAKE TINS SKETCHBOOK,910,3949.72,246,36.4,54.599999999999994,Medium Demand
SET OF 3 CASES WOODLAND DESIGN,928,5304.6,227,37.12,55.67999999999999,Medium Demand
SET OF 3 CHRISTMAS BRIAR CANDLES,174,614.1,28,6.96,10.44,Low Demand
SET OF 3 COLOURED  FLYING DUCKS,3100,14751.8,229,124.0,186.0,High Demand
SET OF 3 CONEY ISLAND OVAL BOXES,263,981.6,89,10.52,15.78,Low Demand
SET OF 3 DANISH ROSE PLANTERS,909,1035.25,36,36.36,54.54,Medium Demand
SET OF 3 GOLD FLYING DUCKS,351,1303.61,64,14.04,21.06,Low Demand
SET OF 3 HANGING OWLS OLLIE BEAK,3642,4327.42,270,145.68,218.52,High Demand
SET OF 3 HEART COOKIE CUTTERS,11135,14022.84,944,445.4,668.0999999999999,High Demand
SET OF 3 MINI HANGING PORTRAITS,32,123.2,2,1.28,1.92,Low Demand
SET OF 3 NOTEBOOKS IN PARCEL,8978,14333.1,634,359.12,538.6800000000001,High Demand
SET OF 3 PANTRY WOODEN SPOONS,192,240.0,24,7.68,11.52,Low Demand
SET OF 3 PINK FLYING DUCKS,84,354.6,21,3.36,5.04,Low Demand
SET OF 3 RABBIT CARROTS EASTER,79,67.14999999999999,16,3.16,4.74,Low Demand
SET OF 3 RABBIT EGG EASTER,33,28.049999999999997,12,1.32,1.98,Low Demand
SET OF 3 RED STRIPE BASKETS,323,2769.44,66,12.92,19.38,Low Demand
SET OF 3 REGENCY CAKE TINS,5856,26625.68,718,234.24,351.36,High Demand
SET OF 3 SILVER FLYING DUCKS,136,388.4,16,5.44,8.16,Low Demand
SET OF 3 VINTAGE TEA TIME BOXES,139,376.35,19,5.56,8.34,Low Demand
SET OF 3 WICKER BASKET ROSE,70,561.8,5,2.8,4.199999999999999,Low Demand
SET OF 3 WICKER BASKET TEA AND CAKE,27,332.6,6,1.08,1.62,Low Demand
SET OF 3 WOODEN HEART DECORATIONS,3747,4829.08,389,149.88,224.82,High Demand
SET OF 3 WOODEN SLEIGH DECORATIONS,1845,2400.45,249,73.8,110.69999999999999,Medium Demand
SET OF 3 WOODEN STOCKING DECORATION,1975,2543.39,274,79.0,118.5,Medium Demand
SET OF 3 WOODEN TREE DECORATIONS,1680,2172.46,246,67.2,100.80000000000001,Medium Demand
SET OF 36 DINOSAUR PAPER DOILIES,1001,1451.4499999999998,133,40.04,60.06,Medium Demand
SET OF 36 DOILIES PANTRY DESIGN,2653,3761.9199999999996,195,106.12,159.18,High Demand
SET OF 36 DOILIES SPACEBOY DESIGN ,1189,1637.6499999999999,95,47.56,71.34,Medium Demand
SET OF 36 DOILIES VINTAGE CHRISTMAS,444,557.4,2,17.76,26.64,Low Demand
SET OF 36 DOLLY GIRL PAPER DOILIES,42,60.9,12,1.68,2.52,Low Demand
SET OF 36 MUSHROOM PAPER DOILIES,1620,2262.6,161,64.8,97.19999999999999,Medium Demand
SET OF 36 PAISLEY FLOWER DOILIES,6655,9379.31,557,266.2,399.29999999999995,High Demand
SET OF 36 PANTRY PAPER DOILIES,39,58.019999999999996,14,1.56,2.34,Low Demand
SET OF 36 SILVER PAPER DOILIES,447,648.15,67,17.88,26.82,Low Demand
SET OF 36 SPACEBOY PAPER DOILIES,50,72.5,7,2.0,3.0,Low Demand
SET OF 36 TEATIME PAPER DOILIES,7843,11028.83,642,313.72,470.58000000000004,High Demand
SET OF 36 VINTAGE CHRISTMAS DOILIES,27,39.15,6,1.08,1.62,Low Demand
SET OF 4 BLACK LOVEBIRD COASTERS,356,374.54,37,14.24,21.36,Low Demand
SET OF 4 CAROUSEL PLACEMATS ,131,179.81,10,5.24,7.86,Low Demand
SET OF 4 DIAMOND NAPKIN RINGS,379,2722.47,69,15.16,22.740000000000002,Low Demand
SET OF 4 DOTTY PLACEMATS ,54,183.3,13,2.16,3.24,Low Demand
SET OF 4 ENGLISH ROSE COASTERS,2196,2708.04,307,87.84,131.76,Medium Demand
SET OF 4 ENGLISH ROSE PLACEMATS,1079,3869.09,245,43.16,64.74,Medium Demand
SET OF 4 FAIRY CAKE PLACEMATS,466,1680.3,117,18.64,27.96,Low Demand
SET OF 4 FAIRY CAKE PLACEMATS ,690,1589.7,104,27.6,41.400000000000006,Medium Demand
SET OF 4 FAIRY CAKES COASTERS ,1110,1305.8,96,44.4,66.6,Medium Demand
SET OF 4 GREEN CAROUSEL COASTERS,128,67.8,13,5.12,7.68,Low Demand
SET OF 4 JAM JAR MAGNETS,2472,4986.49,214,98.88,148.32,Medium Demand
SET OF 4 KNICK KNACK TINS  DOILEY ,6,24.9,1,0.24,0.36,Low Demand
SET OF 4 KNICK KNACK TINS DOILEY ,1803,7136.849999999999,172,72.12,108.18,Medium Demand
SET OF 4 KNICK KNACK TINS DOILY ,2294,9270.5,312,91.76,137.64000000000001,Medium Demand
SET OF 4 KNICK KNACK TINS LEAF,740,2975.0,116,29.6,44.400000000000006,Medium Demand
SET OF 4 KNICK KNACK TINS LEAVES ,304,1237.2,53,12.16,18.240000000000002,Low Demand
SET OF 4 KNICK KNACK TINS LONDON ,1788,7170.599999999999,233,71.52,107.28,Medium Demand
SET OF 4 KNICK KNACK TINS POPPIES,823,3188.0499999999997,155,32.92,49.38,Medium Demand
SET OF 4 NAPKIN CHARM CUTLERY,18,45.900000000000006,3,0.72,1.08,Low Demand
SET OF 4 NAPKIN CHARMS 3 KEYS ,302,640.02,69,12.08,18.12,Low Demand
SET OF 4 NAPKIN CHARMS CROWNS ,367,665.62,59,14.68,22.02,Low Demand
SET OF 4 NAPKIN CHARMS CUTLERY,1934,4538.110000000001,218,77.36,116.03999999999999,Medium Demand
SET OF 4 NAPKIN CHARMS HEARTS,1624,3842.52,248,64.96,97.44,Medium Demand
SET OF 4 NAPKIN CHARMS INSTRUMENT,257,581.27,51,10.28,15.419999999999998,Low Demand
SET OF 4 NAPKIN CHARMS INSTUMENT   ,12,30.6,2,0.48,0.72,Low Demand
SET OF 4 NAPKIN CHARMS LEAVES   ,415,906.73,76,16.6,24.900000000000002,Low Demand
SET OF 4 NAPKIN CHARMS STARS   ,970,2258.75,130,38.8,58.199999999999996,Medium Demand
SET OF 4 NEW ENGLAND COASTERS ,1094,417.5,31,43.76,65.64,Medium Demand
SET OF 4 NEW ENGLAND PLACEMATS,2744,2298.0,33,109.76,164.64000000000001,High Demand
SET OF 4 PANTRY JELLY MOULDS,11792,14180.17,866,471.68,707.52,High Demand
SET OF 4 PASTEL STACKING MUGS,13,33.15,6,0.52,0.78,Low Demand
SET OF 4 PISTACHIO LOVEBIRD COASTER,394,394.11,41,15.76,23.64,Low Demand
SET OF 4 POLKADOT COASTERS,117,148.67,38,4.68,7.02,Low Demand
SET OF 4 POLKADOT PLACEMATS ,97,344.55,32,3.88,5.82,Low Demand
SET OF 4 POLKADOTS COASTERS,109,132.45,29,4.36,6.540000000000001,Low Demand
SET OF 4 ROSE BOTANICAL CANDLES,891,1511.25,142,35.64,53.46,Medium Demand
SET OF 4 SANTA PLACE SETTINGS,1158,1427.34,91,46.32,69.48,Medium Demand
SET OF 5 LUCKY CAT MAGNETS ,2538,5121.4800000000005,187,101.52,152.28,High Demand
SET OF 5 MINI GROCERY MAGNETS,1638,3311.78,184,65.52,98.28,Medium Demand
SET OF 5 PANCAKE DAY MAGNETS,2283,4620.97,195,91.32,136.98,Medium Demand
SET OF 6 3D KIT CARDS FOR KIDS,2668,2251.18,261,106.72,160.07999999999998,High Demand
SET OF 6 CAKE CHOPSTICKS,1999,2309.56,114,79.96,119.94,Medium Demand
SET OF 6 DOTS CHOPSTICKS,185,197.05,2,7.4,11.100000000000001,Low Demand
SET OF 6 EASTER RAINBOW CHICKS,12,15.0,1,0.48,0.72,Low Demand
SET OF 6 FUNKY BEAKERS,626,1808.5400000000002,133,25.04,37.56,Medium Demand
SET OF 6 GIRLS CELEBRATION CANDLES,2214,2169.18,209,88.56,132.84,Medium Demand
SET OF 6 HALLOWEEN GHOST T-LIGHTS,1162,488.03999999999996,68,46.48,69.72,Medium Demand
SET OF 6 HEART CHOPSTICKS,1404,1749.42,169,56.16,84.24,Medium Demand
SET OF 6 HERB TINS SKETCHBOOK,1059,3705.8900000000003,235,42.36,63.54,Medium Demand
SET OF 6 ICE CREAM SKITTLES,232,684.4000000000001,39,9.28,13.919999999999998,Low Demand
SET OF 6 KASHMIR FOLKART BAUBLES,932,2580.4,149,37.28,55.92,Medium Demand
SET OF 6 NATIVITY MAGNETS ,2543,5058.59,145,101.72,152.57999999999998,High Demand
SET OF 6 RIBBONS COUNTRY STYLE,164,449.96,20,6.56,9.84,Low Demand
SET OF 6 RIBBONS PARTY,167,458.63,13,6.68,10.02,Low Demand
SET OF 6 RIBBONS PERFECTLY PRETTY  ,245,684.05,37,9.8,14.700000000000001,Low Demand
SET OF 6 RIBBONS VINTAGE CHRISTMAS,8858,21514.48,599,354.32,531.48,High Demand
SET OF 6 SNACK LOAF BAKING CASES,4292,3360.18,291,171.68,257.52,High Demand
SET OF 6 SOLDIER SKITTLES,3901,14443.3,574,156.04,234.06,High Demand
SET OF 6 SPICE TINS PANTRY DESIGN,5378,20553.7,654,215.12,322.68,High Demand
SET OF 6 STRAWBERRY CHOPSTICKS,2371,2717.79,135,94.84,142.26,Medium Demand
SET OF 6 T-LIGHTS CACTI ,897,2328.63,69,35.88,53.82000000000001,Medium Demand
SET OF 6 T-LIGHTS EASTER CHICKS,401,1119.5500000000002,61,16.04,24.06,Low Demand
SET OF 6 T-LIGHTS SANTA,2543,7322.210000000001,327,101.72,152.57999999999998,High Demand
SET OF 6 T-LIGHTS SNOWMEN,2182,6391.9800000000005,280,87.28,130.92000000000002,Medium Demand
SET OF 6 T-LIGHTS TOADSTOOLS,1232,3364.84,183,49.28,73.92,Medium Demand
SET OF 6 T-LIGHTS WEDDING CAKE ,422,1085.3000000000002,44,16.88,25.32,Low Demand
SET OF 6 TEA TIME BAKING CASES,4879,5687.150000000001,319,195.16,292.74,High Demand
SET OF 6 VINTAGE NOTELETS KIT,1456,1472.7,70,58.24,87.36,Medium Demand
SET OF 60 I LOVE LONDON CAKE CASES ,7727,3729.0499999999997,294,309.08,463.62,High Demand
SET OF 60 PANTRY DESIGN CAKE CASES ,11675,5982.09,504,467.0,700.5,High Demand
SET OF 60 VINTAGE LEAF CAKE CASES ,5967,3098.21,305,238.68,358.02,High Demand
SET OF 72 BLACK PAPER DOILIES ,122,176.89999999999998,19,4.88,7.32,Low Demand
SET OF 72 GREEN PAPER DOILIES,589,854.05,119,23.56,35.339999999999996,Medium Demand
SET OF 72 IVORY PAPER DOILIES,1885,2579.6499999999996,125,75.4,113.10000000000001,Medium Demand
SET OF 72 PINK HEART PAPER DOILIES,7680,10852.65,618,307.2,460.79999999999995,High Demand
SET OF 72 RETRO SPOT PAPER  DOILIES,7488,10423.199999999999,449,299.52,449.28,High Demand
SET OF 72 RETROSPOT PAPER  DOILIES,7370,10338.07,482,294.8,442.20000000000005,High Demand
SET OF 72 SKULL PAPER  DOILIES,2338,3217.2999999999997,184,93.52,140.28,Medium Demand
SET OF 9 BLACK SKULL BALLOONS,6380,5238.4,358,255.2,382.79999999999995,High Demand
SET OF 9 HEART SHAPED BALLOONS,4828,5923.04,445,193.12,289.68,High Demand
SET OF MEADOW  FLOWER STICKERS,161,375.65000000000003,16,6.44,9.66,Low Demand
SET OF PICTURE FRAME  STICKERS,233,622.19,51,9.32,13.98,Low Demand
SET OF RED SALAD SERVERS ,401,597.49,61,16.04,24.06,Low Demand
SET OF SALT AND PEPPER TOADSTOOLS,3126,3811.7400000000002,248,125.04,187.56,High Demand
SET OF SIX SILVER+RED FLOCK BAUBLES,2,1.7,1,0.08,0.12,Low Demand
SET OF SKULL WALL STICKERS,396,956.4000000000001,53,15.84,23.759999999999998,Low Demand
SET OF TEA COFFEE SUGAR TINS PANTRY,4663,22133.829999999998,385,186.52,279.78000000000003,High Demand
SET OF THREE 50'S GIFT WRAPS ,600,1051.5,37,24.0,36.0,Medium Demand
SET OF THREE VINTAGE GIFT WRAPS,2846,5204.099999999999,222,113.84,170.76,High Demand
SET/10 BLUE POLKADOT PARTY CANDLES,5139,6204.87,293,205.56,308.34000000000003,High Demand
SET/10 BLUE SPOTTY PARTY CANDLES,4887,5926.35,306,195.48,293.21999999999997,High Demand
SET/10 IVORY POLKADOT PARTY CANDLES,1352,1687.06,115,54.08,81.12,Medium Demand
SET/10 IVORY SPOTTY PARTY CANDLES,1254,1558.38,74,50.16,75.24,Medium Demand
SET/10 PINK POLKADOT PARTY CANDLES,6866,8255.39,376,274.64,411.96,High Demand
SET/10 PINK SPOTTY PARTY CANDLES,5766,6970.38,363,230.64,345.96,High Demand
SET/10 RED POLKADOT PARTY CANDLES,8961,10708.77,438,358.44,537.66,High Demand
SET/10 RED SPOTTY PARTY CANDLES,6504,7838.16,350,260.16,390.24,High Demand
SET/12 FUNKY FELT FLOWER PEG IN BAG,362,720.84,59,14.48,21.72,Low Demand
SET/12 TAPER CANDLES,1059,829.5899999999999,89,42.36,63.54,Medium Demand
SET/12 ZINC CHRISTMAS DECORATIONS,91,191.10000000000002,15,3.64,5.46,Low Demand
SET/16 WHITE SHINY & MATT BAUBLES,80,47.04,22,3.2,4.800000000000001,Low Demand
SET/2 BLUE  NOODLE BASKETS,58,113.1,21,2.32,3.4799999999999995,Low Demand
SET/2 CHRISTMAS DECOUPAGE CANDLES,40,50.0,6,1.6,2.4000000000000004,Low Demand
SET/2 RED RETROSPOT TEA TOWELS ,3074,8887.26,292,122.96,184.44,High Demand
SET/2 RED SPOTTY TEA TOWELS ,2538,7239.900000000001,327,101.52,152.28,High Demand
SET/2 SPOTTY + ROSE TEA TOWELS ,1,2.55,1,0.04,0.06,Low Demand
SET/2 TEA TOWELS MODERN VINTAGE,1,2.55,1,0.04,0.06,Low Demand
SET/20 COLLAGE PAPER NAPKIN ,760,585.52,73,30.4,45.599999999999994,Medium Demand
SET/20 FRUIT SALAD PAPER NAPKINS ,7066,1767.6999999999998,117,282.64,423.96,High Demand
SET/20 POSIES PAPER NAPKINS,4,3.4,4,0.16,0.24,Low Demand
SET/20 RED RETROSPOT PAPER NAPKINS ,15039,11772.289999999999,890,601.56,902.3399999999999,High Demand
SET/20 RED SPOTTY PAPER NAPKINS ,15175,11318.71,781,607.0,910.5,High Demand
SET/20 STRAWBERRY PAPER NAPKINS ,6566,5120.72,537,262.64,393.96,High Demand
SET/20 WOODLAND PAPER NAPKINS ,2748,1993.08,167,109.92,164.88,High Demand
SET/3 CHRISTMAS BRIAR CANDLES,88,330.0,21,3.52,5.28,Low Demand
SET/3 CHRISTMAS DECOUPAGE CANDLES,1295,1400.15,75,51.8,77.69999999999999,Medium Demand
SET/3 COLOUR PAINTED KASHMIRI STOOL,3,179.85000000000002,2,0.12,0.18,Low Demand
SET/3 DECOUPAGE STACKING TINS,653,3097.95,175,26.12,39.18,Medium Demand
SET/3 FLORAL GARDEN TOOLS IN BAG,281,2001.95,42,11.24,16.86,Low Demand
SET/3 OCEAN SCENT CANDLE JEWEL BOX,986,4016.26,162,39.44,59.16,Medium Demand
SET/3 POLKA DOT STACKING TINS,250,1220.7,85,10.0,15.0,Low Demand
SET/3 POLKADOT STACKING TINS,106,507.9,37,4.24,6.36,Low Demand
SET/3 POT PLANT CANDLES,169,888.0500000000001,47,6.76,10.14,Low Demand
SET/3 RABBITS FLOWER SKIPPPING ROPE,254,215.89999999999998,40,10.16,15.24,Low Demand
SET/3 RED GINGHAM ROSE STORAGE BOX,4298,15218.460000000001,578,171.92,257.88,High Demand
SET/3 ROSE CANDLE IN JEWELLED BOX,849,3464.81,137,33.96,50.94,Medium Demand
SET/3 RUSSIAN DOLL STACKING TINS,1866,8864.300000000001,301,74.64,111.96000000000001,Medium Demand
SET/3 TALL GLASS CANDLE HOLDER PINK,88,725.2,23,3.52,5.28,Low Demand
SET/3 VANILLA SCENTED CANDLE IN BOX,1865,7492.41,238,74.6,111.89999999999999,Medium Demand
SET/4 2 TONE EGG SHAPE MIXING BOWLS,59,569.53,39,2.36,3.54,Low Demand
SET/4 BADGES BALLOON GIRL,868,1087.94,102,34.72,52.08,Medium Demand
SET/4 BADGES BEETLES,536,679.68,84,21.44,32.160000000000004,Medium Demand
SET/4 BADGES CUTE CREATURES,473,602.14,61,18.92,28.380000000000003,Low Demand
SET/4 BADGES DOGS,537,684.56,82,21.48,32.22,Medium Demand
SET/4 BADGES WOODLAND ANIMAL,486,569.5,35,19.44,29.160000000000004,Low Demand
SET/4 BIRD MIRROR MAGNETS ,714,496.25,75,28.56,42.839999999999996,Medium Demand
SET/4 BLACK  BAROQUE FLOCK COASTER,20,51.0,4,0.8,1.2000000000000002,Low Demand
SET/4 BLUE FLOWER CANDLES IN BOWL,2442,3748.5,232,97.68,146.52,Medium Demand
SET/4 BUTTERFLY MIRROR MAGNETS,730,580.7,54,29.2,43.8,Medium Demand
SET/4 COLOURFUL MIXING BOWLS,95,901.4499999999999,51,3.8,5.699999999999999,Low Demand
SET/4 DAISY MIRROR MAGNETS,672,307.39,57,26.88,40.32,Medium Demand
SET/4 GARDEN ROSE DINNER CANDLE,25,41.25,11,1.0,1.5,Low Demand
SET/4 MODERN VINTAGE COTTON NAPKINS,160,331.6,49,6.4,9.600000000000001,Low Demand
SET/4 PINK ORCHID CANDLES IN BOWL,1823,2406.0299999999997,79,72.92,109.38,Medium Demand
SET/4 RED MINI ROSE CANDLE IN BOWL,1119,1098.6499999999999,90,44.76,67.14,Medium Demand
SET/4 SCENTED CANDLES IN RAMEKINS,454,592.5,8,18.16,27.240000000000002,Low Demand
SET/4 SKULL BADGES,2000,2492.4,207,80.0,120.0,Medium Demand
SET/4 SPRING FLOWER DECORATION,1141,1447.5500000000002,114,45.64,68.46000000000001,Medium Demand
SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,40.28,60.42,Medium Demand
SET/5 BLUE SPOTTY LID GLASS BOWLS,295,787.05,30,11.8,17.700000000000003,Low Demand
SET/5 RED RETROSPOT LID GLASS BOWLS,7986,22435.18,1003,319.44,479.15999999999997,High Demand
SET/5 RED SPOTTY LID GLASS BOWLS,10538,28548.7,787,421.52,632.28,High Demand
SET/6  ANGEL T-LIGHTS WHITE/GOLD,652,282.96999999999997,65,26.08,39.12,Medium Demand
SET/6 3D KIT CARDS FOR KIDS,547,414.54999999999995,28,21.88,32.82,Medium Demand
SET/6 BEAD COASTERS GAUZE BAG GOLD,633,374.15,45,25.32,37.980000000000004,Medium Demand
SET/6 BLACK BIRD T-LIGHT CANDLES,247,333.78000000000003,33,9.88,14.82,Low Demand
SET/6 BLACK GLITTER REINDEER CANDLE,4,3.36,4,0.16,0.24,Low Demand
SET/6 BLACK ROSE T-LIGHT CANDLES,49,82.81,15,1.96,2.94,Low Demand
SET/6 BLACK SNOWFLAKE T-LIGHTS ,388,202.33,47,15.52,23.28,Low Demand
SET/6 CHRISTMAS ICICLE T-LIGHTS,34,42.5,9,1.36,2.04,Low Demand
SET/6 COLLAGE PAPER CUPS,2486,650.4000000000001,136,99.44,149.16,Medium Demand
SET/6 COLLAGE PAPER PLATES,2297,1049.47,159,91.88,137.82,Medium Demand
SET/6 EAU DE NIL BIRD T-LIGHTS,432,624.23,48,17.28,25.92,Low Demand
SET/6 FROG PRINCE T-LIGHT CANDLES,954,1563.27,102,38.16,57.239999999999995,Medium Demand
SET/6 FRUIT SALAD  PAPER PLATES,15781,2576.59,101,631.24,946.86,High Demand
SET/6 FRUIT SALAD PAPER CUPS,16503,1723.3300000000002,104,660.12,990.1800000000001,High Demand
SET/6 GARDEN GNOME T-LIGHT CANDLES,113,312.55,18,4.52,6.779999999999999,Low Demand
SET/6 GINGERBREAD STAR T-LIGHTS,335,418.75,48,13.4,20.1,Low Demand
SET/6 GINGERBREAD TREE T-LIGHTS,6,7.5,4,0.24,0.36,Low Demand
SET/6 GOLD REINDEER T-LIGHT CANDLES,201,225.55,17,8.04,12.059999999999999,Low Demand
SET/6 GREEN SPRING  PAPER PLATE,33,28.049999999999997,7,1.32,1.98,Low Demand
SET/6 GREEN SPRING PAPER CUPS,318,102.28,36,12.72,19.080000000000002,Low Demand
SET/6 IVORY BIRD T-LIGHT CANDLES,800,1380.42,62,32.0,48.0,Medium Demand
SET/6 PINK  BUTTERFLY T-LIGHTS,5712,10844.740000000002,426,228.48,342.71999999999997,High Demand
SET/6 PINK BIRD T-LIGHT CANDLES,575,774.29,77,23.0,34.5,Medium Demand
SET/6 POSIES PAPER CUPS,220,123.22,20,8.8,13.200000000000001,Low Demand
SET/6 POSIES PAPER PLATES,242,205.7,27,9.68,14.52,Low Demand
